dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000100,11.080000,0.000004,0.000386,0.019279,0.963972,0.000092
0.020000,-0.000099,11.080000,0.000004,0.000015,-0.018508,-1.889389,0.000092
0.020000,-0.000099,11.080000,0.000005,0.000035,0.000964,0.973610,0.000091
0.020000,-0.000098,11.080000,0.000006,0.000062,0.001349,0.019273,0.000090
0.020000,-0.000096,11.080000,0.000008,0.000096,0.001735,0.019268,0.000089
0.020000,-0.000093,11.080000,0.000011,0.000139,0.002120,0.019259,0.000086
0.020000,-0.000089,11.080000,0.000015,0.000189,0.002505,0.019245,0.000082
0.020000,-0.000084,11.080000,0.000020,0.000247,0.002889,0.019226,0.000078
0.020000,-0.000078,11.080000,0.000026,0.000312,0.003273,0.019201,0.000072
0.020000,-0.000070,11.080000,0.000033,0.000385,0.003657,0.019169,0.000065
0.020000,-0.000061,11.080000,0.000043,0.000462,0.003847,0.009501,0.000056
0.020000,-0.000050,11.080000,0.000053,0.000539,0.003844,-0.000160,0.000046
0.020000,-0.000038,11.080000,0.000066,0.000616,0.003840,-0.000187,0.000035
0.020000,-0.000024,11.080000,0.000080,0.000693,0.003836,-0.000213,0.000022
0.020000,-0.000009,11.080000,0.000095,0.000769,0.003831,-0.000240,0.000008
0.020000,0.000426,11.080000,0.000529,0.021722,1.047636,52.190258,6.283178
0.020000,0.001370,11.080000,0.001473,0.047193,1.273542,11.295329,6.283161
0.020000,0.002392,11.080000,0.002496,0.051125,0.196608,-53.846745,6.283142
0.020000,0.003493,11.080000,0.003597,0.055057,0.196601,-0.000347,6.283122
0.020000,0.004673,11.080000,0.004777,0.058989,0.196593,-0.000373,6.283101
0.020000,0.005932,11.080000,0.006035,0.062920,0.196585,-0.000401,6.283078
0.020000,0.007269,11.080000,0.007372,0.066852,0.196577,-0.000426,6.283054
0.020000,0.008684,11.079999,0.008788,0.070783,0.196568,-0.000453,6.283029
0.020000,0.010179,11.079999,0.010282,0.074715,0.196558,-0.000480,6.283002
0.020000,0.011751,11.079999,0.011855,0.078645,0.196548,-0.000510,6.282973
0.020000,0.013403,11.079998,0.013507,0.082576,0.196537,-0.000530,6.282944
0.020000,0.015133,11.079998,0.015237,0.086507,0.196526,-0.000560,6.282913
0.020000,0.016942,11.079997,0.017045,0.090437,0.196514,-0.000592,6.282880
0.020000,0.018829,11.079997,0.018933,0.094367,0.196502,-0.000609,6.282846
0.020000,0.020795,11.079996,0.020899,0.098297,0.196489,-0.000641,6.282811
0.020000,0.022840,11.079995,0.022943,0.102226,0.196476,-0.000672,6.282775
0.020000,0.024963,11.079994,0.025066,0.106156,0.196462,-0.000686,6.282737
0.020000,0.027164,11.079993,0.027268,0.110085,0.196447,-0.000728,6.282697
0.020000,0.029445,11.079992,0.029548,0.114013,0.196433,-0.000741,6.282657
0.020000,0.031804,11.079991,0.031907,0.117942,0.196417,-0.000777,6.282615
0.020000,0.034241,11.079989,0.034345,0.121870,0.196401,-0.000799,6.282572
0.020000,0.036757,11.079988,0.036860,0.125797,0.196385,-0.000826,6.282527
0.020000,0.039351,11.079986,0.039455,0.129725,0.196367,-0.000856,6.282481
0.020000,0.042024,11.079984,0.042128,0.133652,0.196350,-0.000879,6.282434
0.020000,0.044776,11.079982,0.044880,0.137578,0.196332,-0.000908,6.282385
0.020000,0.047606,11.079980,0.047710,0.141504,0.196313,-0.000936,6.282335
0.020000,0.050515,11.079977,0.050618,0.145430,0.196294,-0.000954,6.282284
0.020000,0.053502,11.079974,0.053605,0.149356,0.196274,-0.001000,6.282232
0.020000,0.056567,11.079971,0.056671,0.153281,0.196254,-0.000997,6.282178
0.020000,0.059711,11.079968,0.059815,0.157206,0.196233,-0.001057,6.282123
0.020000,0.062934,11.079965,0.063038,0.161130,0.196212,-0.001057,6.282067
0.020000,0.066235,11.079961,0.066339,0.165054,0.196190,-0.001088,6.282009
0.020000,0.069615,11.079957,0.069718,0.168977,0.196167,-0.001143,6.281951
0.020000,0.073073,11.079952,0.073176,0.172900,0.196144,-0.001126,6.281891
0.020000,0.076609,11.079948,0.076713,0.176822,0.196121,-0.001174,6.281829
0.020000,0.080224,11.079943,0.080328,0.180744,0.196097,-0.001222,6.281767
0.020000,0.083917,11.079937,0.084021,0.184666,0.196072,-0.001210,6.281703
0.020000,0.087689,11.079932,0.087793,0.188587,0.196047,-0.001252,6.281638
0.020000,0.091539,11.079925,0.091643,0.192507,0.196022,-0.001285,6.281572
0.020000,0.095468,11.079919,0.095571,0.196427,0.195995,-0.001322,6.281505
0.020000,0.099475,11.079912,0.099578,0.200346,0.195969,-0.001317,6.281436
0.020000,0.103560,11.079905,0.103664,0.204265,0.195942,-0.001361,6.281367
0.020000,0.107724,11.079897,0.107827,0.208183,0.195914,-0.001388,6.281296
0.020000,0.111966,11.079889,0.112069,0.212101,0.195885,-0.001418,6.281224
0.020000,0.116286,11.079880,0.116390,0.216018,0.195856,-0.001452,6.281151
0.020000,0.120685,11.079871,0.120788,0.219935,0.195827,-0.001454,6.281077
0.020000,0.125162,11.079862,0.125265,0.223851,0.195797,-0.001495,6.281002
0.020000,0.129717,11.079852,0.129821,0.227766,0.195767,-0.001522,6.280925
0.020000,0.134351,11.079841,0.134454,0.231681,0.195736,-0.001548,6.280848
0.020000,0.139062,11.079830,0.139166,0.235595,0.195705,-0.001575,6.280769
0.020000,0.143853,11.079818,0.143956,0.239508,0.195673,-0.001602,6.280690
0.020000,0.148721,11.079806,0.148825,0.243421,0.195640,-0.001628,6.280609
0.020000,0.153668,11.079793,0.153771,0.247333,0.195607,-0.001655,6.280527
0.020000,0.158693,11.079779,0.158796,0.251245,0.195573,-0.001682,6.280445
0.020000,0.163796,11.079765,0.163899,0.255156,0.195539,-0.001708,6.280361
0.020000,0.168977,11.079750,0.169081,0.259066,0.195504,-0.001735,6.280276
0.020000,0.174236,11.079734,0.174340,0.262975,0.195469,-0.001761,6.280190
0.020000,0.179574,11.079718,0.179678,0.266884,0.195433,-0.001788,6.280104
0.020000,0.184990,11.079701,0.185094,0.270792,0.195397,-0.001814,6.280016
0.020000,0.190484,11.079684,0.190588,0.274699,0.195360,-0.001841,6.279927
0.020000,0.196056,11.079665,0.196160,0.278605,0.195323,-0.001867,6.279838
0.020000,0.201706,11.079646,0.201810,0.282511,0.195285,-0.001894,6.279747
0.020000,0.207434,11.079626,0.207538,0.286416,0.195247,-0.001920,6.279656
0.020000,0.213241,11.079605,0.213345,0.290320,0.195208,-0.001947,6.279563
0.020000,0.219125,11.079584,0.219229,0.294223,0.195168,-0.001978,6.279470
0.020000,0.225088,11.079561,0.225192,0.298126,0.195128,-0.002025,6.279376
0.020000,0.231128,11.079538,0.231232,0.302028,0.195088,-0.002001,6.279281
0.020000,0.237247,11.079514,0.237351,0.305929,0.195047,-0.002053,6.279186
0.020000,0.243443,11.079489,0.243547,0.309829,0.195005,-0.002079,6.279089
0.020000,0.249718,11.079463,0.249822,0.313728,0.194963,-0.002114,6.278992
0.020000,0.256070,11.079436,0.256175,0.317626,0.194919,-0.002170,6.278894
0.020000,0.262501,11.079408,0.262605,0.321524,0.194877,-0.002118,6.278795
0.020000,0.269009,11.079379,0.269113,0.325421,0.194833,-0.002185,6.278695
0.020000,0.275595,11.079349,0.275700,0.329316,0.194788,-0.002240,6.278595
0.020000,0.282259,11.079318,0.282364,0.333211,0.194743,-0.002252,6.278493
0.020000,0.289001,11.079286,0.289106,0.337105,0.194699,-0.002227,6.278392
0.020000,0.295821,11.079253,0.295926,0.340998,0.194653,-0.002316,6.278289
0.020000,0.302719,11.079219,0.302824,0.344890,0.194606,-0.002352,6.278186
0.020000,0.309694,11.079184,0.309800,0.348782,0.194560,-0.002288,6.278082
0.020000,0.316748,11.079147,0.316853,0.352672,0.194511,-0.002425,6.277978
0.020000,0.323879,11.079110,0.323984,0.356561,0.194464,-0.002386,6.277873
0.020000,0.331088,11.079071,0.331193,0.360449,0.194416,-0.002394,6.277767
0.020000,0.338374,11.079031,0.338480,0.364337,0.194365,-0.002537,6.277661
0.020000,0.345739,11.078990,0.345844,0.368223,0.194317,-0.002381,6.277554
0.020000,0.353181,11.078948,0.353287,0.372108,0.194265,-0.002607,6.277446
0.020000,0.360701,11.078904,0.360806,0.375993,0.194216,-0.002447,6.277338
0.020000,0.368298,11.078860,0.368404,0.379876,0.194163,-0.002638,6.277230
0.020000,0.375973,11.078813,0.376079,0.383758,0.194113,-0.002518,6.277121
0.020000,0.383726,11.078766,0.383832,0.387639,0.194059,-0.002688,6.277012
0.020000,0.391556,11.078717,0.391662,0.391520,0.194008,-0.002557,6.276902
0.020000,0.399464,11.078667,0.399570,0.395399,0.193953,-0.002773,6.276792
0.020000,0.407449,11.078616,0.407556,0.399277,0.193901,-0.002584,6.276681
0.020000,0.415512,11.078563,0.415619,0.403154,0.193845,-0.002821,6.276570
0.020000,0.423652,11.078508,0.423759,0.407029,0.193791,-0.002680,6.276459
0.020000,0.431870,11.078453,0.431977,0.410904,0.193735,-0.002785,6.276347
0.020000,0.440166,11.078395,0.440273,0.414778,0.193678,-0.002855,6.276235
0.020000,0.448538,11.078337,0.448646,0.418650,0.193623,-0.002750,6.276122
0.020000,0.456989,11.078277,0.457096,0.422521,0.193565,-0.002906,6.276010
0.020000,0.465516,11.078215,0.465624,0.426392,0.193507,-0.002892,6.275897
0.020000,0.474121,11.078152,0.474230,0.430261,0.193450,-0.002857,6.275783
0.020000,0.482804,11.078087,0.482912,0.434128,0.193391,-0.002958,6.275670
0.020000,0.491563,11.078021,0.491672,0.437995,0.193331,-0.003013,6.275556
0.020000,0.500400,11.077953,0.500509,0.441860,0.193272,-0.002922,6.275443
0.020000,0.509314,11.077883,0.509424,0.445725,0.193212,-0.003018,6.275329
0.020000,0.518306,11.077812,0.518415,0.449588,0.193151,-0.003065,6.275215
0.020000,0.527375,11.077739,0.527484,0.453449,0.193089,-0.003101,6.275100
0.020000,0.536520,11.077665,0.536631,0.457310,0.193028,-0.003045,6.274986
0.020000,0.545743,11.077589,0.545854,0.461169,0.192965,-0.003124,6.274872
0.020000,0.555044,11.077511,0.555155,0.465027,0.192902,-0.003151,6.274757
0.020000,0.564421,11.077431,0.564532,0.468884,0.192839,-0.003177,6.274643
0.020000,0.573875,11.077350,0.573987,0.472740,0.192774,-0.003236,6.274529
0.020000,0.583407,11.077267,0.583519,0.476594,0.192710,-0.003207,6.274414
0.020000,0.593016,11.077182,0.593128,0.480447,0.192645,-0.003244,6.274300
0.020000,0.602701,11.077095,0.602814,0.484298,0.192579,-0.003283,6.274186
0.020000,0.612464,11.077007,0.612577,0.488148,0.192513,-0.003309,6.274072
0.020000,0.622303,11.076917,0.622417,0.491997,0.192446,-0.003336,6.273958
0.020000,0.632220,11.076825,0.632334,0.495845,0.192379,-0.003362,6.273844
0.020000,0.642213,11.076731,0.642327,0.499691,0.192311,-0.003389,6.273730
0.020000,0.652283,11.076635,0.652398,0.503536,0.192243,-0.003415,6.273617
0.020000,0.662430,11.076537,0.662546,0.507380,0.192174,-0.003441,6.273503
0.020000,0.672654,11.076438,0.672770,0.511222,0.192105,-0.003468,6.273390
0.020000,0.682955,11.076336,0.683071,0.515062,0.192035,-0.003494,6.273278
0.020000,0.693333,11.076233,0.693449,0.518902,0.191965,-0.003520,6.273165
0.020000,0.703787,11.076127,0.703904,0.522740,0.191894,-0.003547,6.273053
0.020000,0.714318,11.076020,0.714436,0.526576,0.191822,-0.003573,6.272942
0.020000,0.724926,11.075911,0.725044,0.530411,0.191750,-0.003600,6.272830
0.020000,0.735610,11.075800,0.735729,0.534245,0.191678,-0.003626,6.272719
0.020000,0.746371,11.075686,0.746490,0.538077,0.191605,-0.003652,6.272609
0.020000,0.757208,11.075571,0.757329,0.541907,0.191530,-0.003725,6.272499
0.020000,0.768122,11.075454,0.768243,0.545736,0.191457,-0.003668,6.272390
0.020000,0.779113,11.075335,0.779235,0.549564,0.191382,-0.003728,6.272281
0.020000,0.790180,11.075213,0.790302,0.553390,0.191307,-0.003758,6.272172
0.020000,0.801324,11.075090,0.801447,0.557215,0.191231,-0.003784,6.272064
0.020000,0.812544,11.074965,0.812667,0.561038,0.191155,-0.003839,6.271957
0.020000,0.823840,11.074837,0.823965,0.564859,0.191077,-0.003860,6.271851
0.020000,0.835213,11.074708,0.835338,0.568679,0.191001,-0.003817,6.271745
0.020000,0.846662,11.074576,0.846788,0.572498,0.190923,-0.003890,6.271639
0.020000,0.858188,11.074443,0.858314,0.576315,0.190844,-0.003957,6.271535
0.020000,0.869790,11.074307,0.869917,0.580130,0.190765,-0.003961,6.271431
0.020000,0.881468,11.074169,0.881596,0.583944,0.190687,-0.003915,6.271328
0.020000,0.893222,11.074029,0.893351,0.587756,0.190606,-0.004016,6.271226
0.020000,0.905053,11.073887,0.905182,0.591566,0.190524,-0.004094,6.271125
0.020000,0.916959,11.073743,0.917090,0.595375,0.190445,-0.003960,6.271024
0.020000,0.928942,11.073596,0.929074,0.599183,0.190363,-0.004120,6.270925
0.020000,0.941001,11.073448,0.941133,0.602988,0.190280,-0.004136,6.270826
0.020000,0.953136,11.073297,0.953269,0.606792,0.190199,-0.004052,6.270728
0.020000,0.965347,11.073145,0.965481,0.610594,0.190114,-0.004267,6.270632
0.020000,0.977634,11.072990,0.977769,0.614395,0.190032,-0.004092,6.270536
0.020000,0.989996,11.072833,0.990133,0.618194,0.189947,-0.004264,6.270442
0.020000,1.002435,11.072674,1.002573,0.621991,0.189862,-0.004225,6.270348
0.020000,1.014950,11.072512,1.015088,0.625787,0.189777,-0.004257,6.270256
0.020000,1.027541,11.072349,1.027680,0.629581,0.189691,-0.004317,6.270164
0.020000,1.040207,11.072183,1.040347,0.633373,0.189605,-0.004289,6.270074
0.020000,1.052949,11.072016,1.053091,0.637163,0.189517,-0.004371,6.269986
0.020000,1.065767,11.071846,1.065910,0.640952,0.189430,-0.004359,6.269898
0.020000,1.078661,11.071674,1.078805,0.644738,0.189342,-0.004390,6.269812
0.020000,1.091630,11.071500,1.091775,0.648524,0.189253,-0.004462,6.269727
0.020000,1.104675,11.071324,1.104821,0.652307,0.189166,-0.004379,6.269643
0.020000,1.117795,11.071146,1.117943,0.656088,0.189074,-0.004589,6.269561
0.020000,1.130992,11.070965,1.131140,0.659868,0.188986,-0.004404,6.269480
0.020000,1.144263,11.070783,1.144413,0.663646,0.188894,-0.004568,6.269400
0.020000,1.157610,11.070599,1.157762,0.667422,0.188803,-0.004587,6.269322
0.020000,1.171033,11.070412,1.171186,0.671196,0.188712,-0.004529,6.269246
0.020000,1.184531,11.070223,1.184685,0.674969,0.188619,-0.004647,6.269171
0.020000,1.198104,11.070033,1.198260,0.678739,0.188526,-0.004656,6.269098
0.020000,1.211753,11.069840,1.211910,0.682508,0.188434,-0.004621,6.269026
0.020000,1.225477,11.069645,1.225635,0.686275,0.188340,-0.004696,6.268956
0.020000,1.239277,11.069448,1.239436,0.690039,0.188244,-0.004774,6.268888
0.020000,1.253151,11.069249,1.253312,0.693802,0.188150,-0.004696,6.268821
0.020000,1.267101,11.069048,1.267263,0.697564,0.188055,-0.004770,6.268756
0.020000,1.281126,11.068846,1.281290,0.701323,0.187959,-0.004801,6.268693
0.020000,1.295226,11.068641,1.295391,0.705080,0.187862,-0.004847,6.268632
0.020000,1.309402,11.068434,1.309568,0.708835,0.187765,-0.004848,6.268572
0.020000,1.323652,11.068225,1.323820,0.712589,0.187668,-0.004861,6.268515
0.020000,1.337977,11.068015,1.338147,0.716340,0.187570,-0.004907,6.268459
0.020000,1.352377,11.067802,1.352549,0.720089,0.187471,-0.004933,6.268406
0.020000,1.366852,11.067588,1.367025,0.723837,0.187372,-0.004960,6.268354
0.020000,1.381402,11.067372,1.381577,0.727582,0.187272,-0.004986,6.268305
0.020000,1.396027,11.067154,1.396203,0.731326,0.187172,-0.005015,6.268257
0.020000,1.410727,11.066934,1.410905,0.735067,0.187071,-0.005043,6.268212
0.020000,1.425501,11.066712,1.425681,0.738807,0.186970,-0.005055,6.268169
0.020000,1.440351,11.066489,1.440532,0.742544,0.186868,-0.005092,6.268128
0.020000,1.455275,11.066264,1.455457,0.746279,0.186765,-0.005119,6.268089
0.020000,1.470273,11.066037,1.470458,0.750013,0.186663,-0.005145,6.268052
0.020000,1.485346,11.065809,1.485533,0.753744,0.186559,-0.005172,6.268018
0.020000,1.500494,11.065579,1.500682,0.757473,0.186455,-0.005199,6.267987
0.020000,1.515716,11.065347,1.515906,0.761200,0.186351,-0.005225,6.267957
0.020000,1.531013,11.065114,1.531204,0.764925,0.186246,-0.005252,6.267930
0.020000,1.546384,11.064880,1.546577,0.768648,0.186140,-0.005279,6.267906
0.020000,1.561830,11.064643,1.562025,0.772368,0.186034,-0.005310,6.267883
0.020000,1.577350,11.064406,1.577547,0.776087,0.185927,-0.005330,6.267864
0.020000,1.592944,11.064167,1.593143,0.779803,0.185820,-0.005357,6.267847
0.020000,1.608612,11.063926,1.608813,0.783517,0.185712,-0.005386,6.267833
0.020000,1.624355,11.063684,1.624558,0.787229,0.185604,-0.005413,6.267821
0.020000,1.640172,11.063441,1.640376,0.790939,0.185495,-0.005440,6.267812
0.020000,1.656063,11.063197,1.656269,0.794647,0.185386,-0.005467,6.267806
0.020000,1.672028,11.062951,1.672236,0.798353,0.185276,-0.005494,6.267803
0.020000,1.688067,11.062705,1.688277,0.802056,0.185166,-0.005519,6.267802
0.020000,1.704181,11.062457,1.704393,0.805757,0.185055,-0.005546,6.267804
0.020000,1.720368,11.062208,1.720582,0.809456,0.184943,-0.005575,6.267810
0.020000,1.736629,11.061958,1.736845,0.813153,0.184831,-0.005602,6.267818
0.020000,1.752964,11.061707,1.753182,0.816847,0.184719,-0.005620,6.267829
0.020000,1.769373,11.061455,1.769592,0.820539,0.184606,-0.005661,6.267843
0.020000,1.785855,11.061202,1.786077,0.824229,0.184492,-0.005684,6.267860
0.020000,1.802412,11.060949,1.802635,0.827916,0.184378,-0.005700,6.267881
0.020000,1.819042,11.060694,1.819267,0.831602,0.184263,-0.005736,6.267904
0.020000,1.835746,11.060439,1.835973,0.835285,0.184148,-0.005773,6.267931
0.020000,1.852523,11.060183,1.852752,0.838965,0.184032,-0.005774,6.267961
0.020000,1.869374,11.059927,1.869605,0.842644,0.183916,-0.005821,6.267994
0.020000,1.886298,11.059670,1.886532,0.846320,0.183799,-0.005859,6.268031
0.020000,1.903296,11.059413,1.903532,0.849993,0.183682,-0.005830,6.268071
0.020000,1.920368,11.059155,1.920605,0.853664,0.183563,-0.005938,6.268114
0.020000,1.937512,11.058897,1.937751,0.857333,0.183445,-0.005897,6.268161
0.020000,1.954730,11.058639,1.954971,0.861000,0.183326,-0.005960,6.268211
0.020000,1.972022,11.058381,1.972265,0.864664,0.183207,-0.005980,6.268265
0.020000,1.989386,11.058122,1.989631,0.868326,0.183087,-0.005990,6.268323
0.020000,2.006824,11.057863,2.007071,0.871985,0.182966,-0.006053,6.268384
0.020000,2.024335,11.057605,2.024584,0.875642,0.182845,-0.006033,6.268449
0.020000,2.041919,11.057346,2.042170,0.879296,0.182723,-0.006108,6.268517
0.020000,2.059576,11.057088,2.059829,0.882948,0.182601,-0.006096,6.268590
0.020000,2.077306,11.056830,2.077561,0.886598,0.182478,-0.006141,6.268666
0.020000,2.095109,11.056572,2.095366,0.890245,0.182354,-0.006186,6.268746
0.020000,2.112985,11.056314,2.113243,0.893890,0.182232,-0.006145,6.268830
0.020000,2.130934,11.056057,2.131194,0.897532,0.182106,-0.006284,6.268918
0.020000,2.148956,11.055801,2.149217,0.901172,0.181982,-0.006185,6.269009
0.020000,2.167050,11.055546,2.167314,0.904809,0.181856,-0.006309,6.269105
0.020000,2.185217,11.055291,2.185482,0.908443,0.181730,-0.006323,6.269205
0.020000,2.203457,11.055037,2.203724,0.912075,0.181605,-0.006250,6.269310
0.020000,2.221769,11.054783,2.222038,0.915705,0.181476,-0.006423,6.269418
0.020000,2.240154,11.054531,2.240425,0.919332,0.181348,-0.006386,6.269531
0.020000,2.258612,11.054280,2.258884,0.922956,0.181221,-0.006353,6.269648
0.020000,2.277141,11.054031,2.277415,0.926578,0.181092,-0.006467,6.269769
0.020000,2.295744,11.053782,2.296019,0.930197,0.180962,-0.006482,6.269894
0.020000,2.314418,11.053535,2.314696,0.933814,0.180833,-0.006488,6.270024
0.020000,2.333165,11.053290,2.333444,0.937428,0.180703,-0.006462,6.270159
0.020000,2.351981,11.053046,2.352261,0.940848,0.171009,-0.484700,6.270298
0.020000,2.370857,11.052804,2.371139,0.943884,0.151764,-0.962264,6.270442
0.020000,2.389786,11.052564,2.390070,0.946534,0.132536,-0.961395,6.270589
0.020000,2.408761,11.052327,2.409046,0.948801,0.113326,-0.960532,6.270742
0.020000,2.427773,11.052091,2.428059,0.950683,0.094133,-0.959631,6.270899
0.020000,2.446815,11.051859,2.447103,0.952183,0.074957,-0.958799,6.271060
0.020000,2.465880,11.051629,2.466169,0.953299,0.055798,-0.957927,6.271225
0.020000,2.484959,11.051403,2.485249,0.954032,0.036658,-0.957023,6.271395
0.020000,2.504045,11.051179,2.504337,0.954382,0.017535,-0.956137,6.271569
0.020000,2.523130,11.050959,2.523423,0.954282,-0.005008,-1.127145,6.271747
0.020000,2.542203,11.050743,2.542497,0.953732,-0.027530,-1.126096,6.271930
0.020000,2.561258,11.050530,2.561553,0.952800,-0.046593,-0.953185,6.272116
0.020000,2.580286,11.050321,2.580583,0.951487,-0.065641,-0.952386,6.272306
0.020000,2.599281,11.050117,2.599579,0.949794,-0.084670,-0.951461,6.272500
0.020000,2.618234,11.049916,2.618533,0.947720,-0.103682,-0.950576,6.272697
0.020000,2.637139,11.049720,2.637439,0.945266,-0.122676,-0.949697,6.272899
0.020000,2.655986,11.049528,2.656287,0.942433,-0.141652,-0.948823,6.273103
0.020000,2.674770,11.049340,2.675072,0.939221,-0.160610,-0.947895,6.273311
0.020000,2.693482,11.049157,2.693784,0.935630,-0.179553,-0.947143,6.273522
0.020000,2.712115,11.048979,2.712419,0.931729,-0.195048,-0.774747,6.273737
0.020000,2.730669,11.048806,2.730973,0.927709,-0.201011,-0.298141,6.273954
0.020000,2.749142,11.048637,2.749447,0.923691,-0.200880,0.006530,6.274174
0.020000,2.767535,11.048474,2.767841,0.919676,-0.200751,0.006476,6.274398
