dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,10.000000,0.000004,0.000386,0.019279,0.963972,0.000092
0.020000,0.000000,10.000000,0.000019,0.001157,0.038559,0.963972,0.000092
0.020000,0.000000,10.000000,0.000054,0.002314,0.057838,0.963972,0.000091
0.020000,0.000000,10.000000,0.000116,0.003856,0.077118,0.963972,0.000090
0.020000,0.000000,10.000000,0.000212,0.005784,0.096397,0.963972,0.000089
0.020000,0.000000,10.000000,0.000351,0.008097,0.115677,0.963972,0.000086
0.020000,0.000000,10.000000,0.000540,0.010796,0.134956,0.963972,0.000082
0.020000,0.000000,10.000000,0.000787,0.013881,0.154236,0.963972,0.000078
0.020000,0.000000,10.000000,0.001099,0.017352,0.173515,0.963972,0.000072
0.020000,0.000000,10.000000,0.001485,0.021207,0.192794,0.963972,0.000065
0.020000,0.000000,10.000000,0.001947,0.025063,0.192794,-0.000000,0.000056
0.020000,0.000000,10.000000,0.002487,0.028919,0.192794,0.000000,0.000046
0.020000,0.000000,10.000000,0.003104,0.032775,0.192794,0.000000,0.000035
0.020000,0.000000,10.000000,0.003798,0.036631,0.192794,-0.000000,0.000022
0.020000,0.000000,10.000000,0.004569,0.040487,0.192794,0.000000,0.000008
0.020000,0.000418,10.000000,0.005418,0.044343,0.192794,-0.000000,6.283178
0.020000,0.001343,10.000000,0.006343,0.048199,0.192794,0.000000,6.283161
0.020000,0.002345,10.000000,0.007345,0.052055,0.192794,-0.000000,6.283142
0.020000,0.003425,10.000000,0.008425,0.055910,0.192794,0.000000,6.283122
0.020000,0.004582,10.000000,0.009582,0.059766,0.192794,-0.000000,6.283101
0.020000,0.005816,10.000000,0.010816,0.063622,0.192794,0.000000,6.283078
0.020000,0.007127,10.000000,0.012127,0.067478,0.192794,0.000000,6.283054
0.020000,0.008515,9.999999,0.013515,0.071334,0.192794,-0.000000,6.283029
0.020000,0.009980,9.999999,0.014980,0.075190,0.192794,0.000000,6.283002
0.020000,0.011522,9.999999,0.016522,0.079046,0.192794,0.000000,6.282973
0.020000,0.013142,9.999998,0.018142,0.082902,0.192794,-0.000000,6.282944
0.020000,0.014839,9.999998,0.019839,0.086758,0.192794,0.000000,6.282913
0.020000,0.016612,9.999997,0.021612,0.090613,0.192794,-0.000000,6.282880
0.020000,0.018463,9.999997,0.023463,0.094469,0.192794,0.000000,6.282846
0.020000,0.020391,9.999996,0.025391,0.098325,0.192794,-0.000000,6.282811
0.020000,0.022396,9.999995,0.027396,0.102181,0.192794,0.000000,6.282775
0.020000,0.024478,9.999994,0.029478,0.106037,0.192794,0.000000,6.282737
0.020000,0.026638,9.999993,0.031638,0.109893,0.192794,-0.000000,6.282697
0.020000,0.028874,9.999992,0.033874,0.113749,0.192794,0.000000,6.282657
0.020000,0.031188,9.999991,0.036188,0.117605,0.192794,0.000000,6.282615
0.020000,0.033578,9.999990,0.038578,0.121461,0.192794,0.000000,6.282572
0.020000,0.036046,9.999988,0.041046,0.125316,0.192794,0.000000,6.282527
0.020000,0.038591,9.999986,0.043591,0.129172,0.192794,-0.000000,6.282481
0.020000,0.041213,9.999984,0.046213,0.133028,0.192794,0.000000,6.282434
0.020000,0.043912,9.999982,0.048912,0.136884,0.192794,-0.000000,6.282385
0.020000,0.046688,9.999980,0.051688,0.140740,0.192794,0.000000,6.282335
0.020000,0.049542,9.999978,0.054542,0.144596,0.192794,0.000000,6.282284
0.020000,0.052472,9.999975,0.057472,0.148452,0.192794,-0.000000,6.282232
0.020000,0.055480,9.999972,0.060480,0.152308,0.192794,0.000000,6.282178
0.020000,0.058564,9.999969,0.063564,0.156164,0.192794,0.000000,6.282123
0.020000,0.061726,9.999965,0.066726,0.160019,0.192794,0.000000,6.282067
0.020000,0.064965,9.999962,0.069965,0.163875,0.192794,0.000000,6.282009
0.020000,0.068281,9.999958,0.073281,0.167731,0.192794,-0.000000,6.281951
