dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000100,8.920000,0.000004,0.000386,0.019279,0.963972,0.000092
0.020000,0.000099,8.920000,0.000004,0.000015,-0.018508,-1.889389,0.000092
0.020000,0.000099,8.920000,0.000005,0.000035,0.000964,0.973610,0.000091
0.020000,0.000098,8.920000,0.000006,0.000062,0.001349,0.019273,0.000090
0.020000,0.000096,8.920000,0.000008,0.000096,0.001735,0.019268,0.000089
0.020000,0.000093,8.920000,0.000011,0.000139,0.002120,0.019259,0.000086
0.020000,0.000089,8.920000,0.000015,0.000189,0.002505,0.019245,0.000082
0.020000,0.000084,8.920000,0.000020,0.000247,0.002889,0.019226,0.000078
0.020000,0.000078,8.920000,0.000026,0.000312,0.003273,0.019201,0.000072
0.020000,0.000070,8.920000,0.000033,0.000385,0.003657,0.019169,0.000065
0.020000,0.000061,8.920000,0.000043,0.000462,0.003847,0.009501,0.000056
0.020000,0.000050,8.920000,0.000053,0.000539,0.003844,-0.000160,0.000046
0.020000,0.000038,8.920000,0.000066,0.000616,0.003840,-0.000187,0.000035
0.020000,0.000024,8.920000,0.000080,0.000693,0.003836,-0.000213,0.000022
0.020000,0.000009,8.920000,0.000095,0.000769,0.003831,-0.000240,0.000008
0.020000,0.000409,8.920000,0.000496,0.020031,0.963067,47.961814,6.283178
0.020000,0.001316,8.920000,0.001403,0.045349,1.265903,15.141824,6.283161
0.020000,0.002299,8.920000,0.002385,0.049128,0.188981,-53.846105,6.283142
0.020000,0.003357,8.920000,0.003443,0.052908,0.188988,0.000347,6.283122
0.020000,0.004491,8.920000,0.004577,0.056688,0.188996,0.000374,6.283101
0.020000,0.005700,8.920000,0.005786,0.060468,0.189004,0.000399,6.283078
0.020000,0.006985,8.920000,0.007071,0.064248,0.189012,0.000427,6.283054
0.020000,0.008346,8.919999,0.008432,0.068029,0.189021,0.000454,6.283029
0.020000,0.009782,8.919999,0.009868,0.071809,0.189031,0.000480,6.283002
0.020000,0.011294,8.919999,0.011380,0.075590,0.189041,0.000504,6.282973
0.020000,0.012881,8.919998,0.012967,0.079371,0.189052,0.000537,6.282944
0.020000,0.014544,8.919998,0.014630,0.083152,0.189063,0.000561,6.282913
0.020000,0.016283,8.919998,0.016369,0.086934,0.189075,0.000582,6.282880
0.020000,0.018097,8.919997,0.018183,0.090716,0.189087,0.000618,6.282846
0.020000,0.019987,8.919996,0.020073,0.094498,0.189100,0.000640,6.282811
0.020000,0.021953,8.919995,0.022039,0.098280,0.189113,0.000663,6.282775
0.020000,0.023994,8.919995,0.024080,0.102062,0.189127,0.000701,6.282737
0.020000,0.026111,8.919994,0.026197,0.105845,0.189141,0.000713,6.282697
0.020000,0.028303,8.919992,0.028390,0.109628,0.189156,0.000753,6.282657
0.020000,0.030572,8.919991,0.030658,0.113412,0.189172,0.000770,6.282615
0.020000,0.032915,8.919990,0.033002,0.117196,0.189188,0.000802,6.282572
0.020000,0.035335,8.919988,0.035421,0.120980,0.189204,0.000828,6.282527
0.020000,0.037830,8.919987,0.037917,0.124764,0.189221,0.000852,6.282481
0.020000,0.040401,8.919985,0.040488,0.128549,0.189239,0.000882,6.282434
0.020000,0.043048,8.919983,0.043134,0.132334,0.189257,0.000907,6.282385
0.020000,0.045770,8.919980,0.045857,0.136120,0.189276,0.000932,6.282335
0.020000,0.048568,8.919978,0.048655,0.139905,0.189295,0.000967,6.282284
0.020000,0.051442,8.919975,0.051529,0.143692,0.189315,0.000975,6.282232
0.020000,0.054392,8.919972,0.054478,0.147478,0.189335,0.001030,6.282178
0.020000,0.057417,8.919969,0.057504,0.151266,0.189356,0.001025,6.282123
0.020000,0.060518,8.919966,0.060605,0.155053,0.189377,0.001077,6.282067
0.020000,0.063695,8.919962,0.063781,0.158841,0.189399,0.001099,6.282009
0.020000,0.066948,8.919958,0.067034,0.162630,0.189421,0.001099,6.281951
0.020000,0.070276,8.919954,0.070362,0.166418,0.189445,0.001168,6.281891
0.020000,0.073680,8.919950,0.073767,0.170208,0.189468,0.001174,6.281829
0.020000,0.077160,8.919945,0.077247,0.173998,0.189492,0.001181,6.281767
0.020000,0.080716,8.919940,0.080802,0.177788,0.189517,0.001244,6.281703
0.020000,0.084347,8.919934,0.084434,0.181579,0.189542,0.001256,6.281638
0.020000,0.088055,8.919928,0.088141,0.185370,0.189567,0.001277,6.281572
0.020000,0.091838,8.919922,0.091925,0.189162,0.189593,0.001293,6.281505
0.020000,0.095697,8.919915,0.095784,0.192954,0.189620,0.001351,6.281436
0.020000,0.099632,8.919908,0.099719,0.196747,0.189647,0.001361,6.281367
0.020000,0.103643,8.919901,0.103729,0.200541,0.189675,0.001387,6.281296
0.020000,0.107730,8.919893,0.107816,0.204335,0.189703,0.001411,6.281224
0.020000,0.111892,8.919885,0.111979,0.208130,0.189732,0.001430,6.281151
0.020000,0.116131,8.919876,0.116217,0.211925,0.189762,0.001481,6.281077
0.020000,0.120445,8.919867,0.120532,0.215721,0.189792,0.001494,6.281002
0.020000,0.124835,8.919857,0.124922,0.219517,0.189822,0.001521,6.280925
0.020000,0.129302,8.919847,0.129388,0.223314,0.189853,0.001547,6.280848
0.020000,0.133844,8.919836,0.133930,0.227112,0.189884,0.001574,6.280769
0.020000,0.138462,8.919825,0.138549,0.230910,0.189916,0.001601,6.280690
0.020000,0.143156,8.919813,0.143243,0.234709,0.189949,0.001628,6.280609
0.020000,0.147926,8.919800,0.148013,0.238509,0.189982,0.001654,6.280527
0.020000,0.152773,8.919787,0.152859,0.242309,0.190016,0.001681,6.280445
0.020000,0.157695,8.919773,0.157781,0.246110,0.190050,0.001708,6.280361
0.020000,0.162693,8.919759,0.162780,0.249912,0.190084,0.001735,6.280276
0.020000,0.167767,8.919744,0.167854,0.253714,0.190120,0.001761,6.280190
0.020000,0.172918,8.919729,0.173004,0.257517,0.190155,0.001788,6.280104
0.020000,0.178144,8.919712,0.178231,0.261321,0.190192,0.001815,6.280016
0.020000,0.183446,8.919695,0.183533,0.265126,0.190229,0.001842,6.279927
0.020000,0.188825,8.919677,0.188912,0.268931,0.190266,0.001869,6.279838
0.020000,0.194280,8.919659,0.194367,0.272737,0.190304,0.001896,6.279747
0.020000,0.199811,8.919640,0.199897,0.276544,0.190342,0.001923,6.279656
0.020000,0.205418,8.919620,0.205504,0.280352,0.190381,0.001949,6.279563
0.020000,0.211101,8.919599,0.211188,0.284160,0.190421,0.001972,6.279470
0.020000,0.216860,8.919577,0.216947,0.287969,0.190460,0.001979,6.279376
0.020000,0.222696,8.919555,0.222783,0.291779,0.190501,0.002054,6.279281
0.020000,0.228607,8.919531,0.228694,0.295590,0.190543,0.002057,6.279186
0.020000,0.234595,8.919507,0.234682,0.299402,0.190584,0.002084,6.279089
0.020000,0.240660,8.919482,0.240747,0.303214,0.190626,0.002103,6.278992
0.020000,0.246800,8.919456,0.246887,0.307028,0.190668,0.002102,6.278894
0.020000,0.253017,8.919429,0.253104,0.310842,0.190712,0.002204,6.278795
0.020000,0.259310,8.919401,0.259397,0.314657,0.190756,0.002192,6.278695
0.020000,0.265679,8.919372,0.265767,0.318473,0.190800,0.002191,6.278595
0.020000,0.272125,8.919342,0.272213,0.322290,0.190845,0.002232,6.278493
0.020000,0.278647,8.919311,0.278735,0.326108,0.190891,0.002309,6.278392
0.020000,0.285246,8.919279,0.285333,0.329926,0.190936,0.002275,6.278289
0.020000,0.291920,8.919246,0.292008,0.333746,0.190982,0.002292,6.278186
0.020000,0.298672,8.919212,0.298759,0.337567,0.191030,0.002407,6.278082
0.020000,0.305499,8.919177,0.305587,0.341388,0.191077,0.002327,6.277978
0.020000,0.312403,8.919140,0.312491,0.345211,0.191125,0.002417,6.277873
0.020000,0.319384,8.919103,0.319472,0.349034,0.191175,0.002462,6.277767
0.020000,0.326441,8.919064,0.326529,0.352859,0.191222,0.002376,6.277661
